epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1344.34,1.65351,1.12823,1.27554,0.15974,0.5819,0.25961,0.19644,1.98137,6.74335,3.20998,0.00138101,0.00138101,0.00138101
43,1375.31,1.66522,1.12943,1.28067,0.17725,0.56724,0.31515,0.23196,1.92828,6.6482,2.94965,0.00136781,0.00136781,0.00136781
44,1406.05,1.68861,1.1243,1.29652,0.1717,0.58017,0.28995,0.2103,2.11669,7.05733,3.36842,0.00135438,0.00135438,0.00135438
45,1436.74,1.65325,1.08201,1.27886,0.16823,0.57276,0.24424,0.16545,2.13814,7.15127,3.34954,0.00134073,0.00134073,0.00134073
46,1467.71,1.61921,1.07542,1.26529,0.16648,0.5931,0.22793,0.15051,2.14215,7.02065,3.40277,0.00132685,0.00132685,0.00132685
47,1499.11,1.6676,1.07841,1.26319,0.19815,0.5831,0.31209,0.22298,1.84352,6.52855,2.87522,0.00131277,0.00131277,0.00131277
48,1530.43,1.65849,1.08868,1.28322,0.17649,0.56552,0.17441,0.12232,1.9922,7.10456,3.06488,0.00129847,0.00129847,0.00129847
49,1562.21,1.62842,1.04933,1.25158,0.17952,0.59914,0.25923,0.18484,1.81989,6.64866,2.82646,0.00128398,0.00128398,0.00128398
50,1593.82,1.65294,1.07219,1.27523,0.1829,0.58569,0.20009,0.13091,2.0888,6.86936,3.27791,0.00126929,0.00126929,0.00126929
51,1625.69,1.62882,1.0638,1.26057,0.15723,0.5819,0.19585,0.1404,1.96027,7.35483,3.13806,0.00125442,0.00125442,0.00125442
52,1657.37,1.59436,1.04243,1.24045,0.20543,0.57241,0.16028,0.09824,1.82382,6.83561,2.98453,0.00123936,0.00123936,0.00123936
53,1689.12,1.60385,1.02934,1.23298,0.21036,0.57672,0.22038,0.15025,2.00878,7.23444,3.23787,0.00122413,0.00122413,0.00122413
54,1720.84,1.65703,1.04305,1.26752,0.17776,0.57845,0.15328,0.09755,1.93925,7.06174,3.16483,0.00120873,0.00120873,0.00120873
55,1751.35,1.60306,1.02804,1.25286,0.20436,0.55069,0.25966,0.19664,1.80864,6.61979,2.75651,0.00119317,0.00119317,0.00119317
56,1782.15,1.59898,1.02614,1.25914,0.18482,0.57845,0.29053,0.22198,1.83607,7.01905,2.92071,0.00117746,0.00117746,0.00117746
57,1813.09,1.59132,1.05198,1.24041,0.17589,0.5918,0.34384,0.25244,1.87487,7.11,3.0143,0.0011616,0.0011616,0.0011616
58,1844.64,1.56287,1.00309,1.23781,0.21394,0.57672,0.32835,0.244,1.9321,7.21779,3.17689,0.0011456,0.0011456,0.0011456
59,1876.26,1.5772,1.02969,1.24181,0.24769,0.56207,0.32188,0.23278,1.84944,7.30115,2.93349,0.00112946,0.00112946,0.00112946
60,1907.22,1.58241,1.01783,1.26023,0.19793,0.57586,0.26101,0.18989,1.80782,7.08865,2.83066,0.0011132,0.0011132,0.0011132
61,1938.21,1.57423,0.99461,1.2302,0.22665,0.57241,0.27736,0.20175,1.88463,7.2667,2.97134,0.00109683,0.00109683,0.00109683
62,1970.18,1.54165,0.98987,1.21623,0.18432,0.57328,0.24457,0.18151,1.78366,7.53791,2.83782,0.00108033,0.00108033,0.00108033
63,2007.44,1.53273,0.99499,1.21975,0.19049,0.56638,0.28918,0.21519,1.78538,7.3053,2.90203,0.00106374,0.00106374,0.00106374
64,2046.7,1.52623,0.96572,1.20263,0.18844,0.58448,0.26104,0.19298,1.72079,7.07416,2.79798,0.00104705,0.00104705,0.00104705
65,2084.12,1.54603,1.00131,1.2062,0.19992,0.57155,0.20592,0.14208,1.86468,7.45532,3.00714,0.00103026,0.00103026,0.00103026
66,2120.06,1.51354,0.95189,1.21828,0.22467,0.56034,0.17799,0.12195,1.91105,7.45638,3.10648,0.0010134,0.0010134,0.0010134
67,2156.25,1.50766,0.94912,1.19531,0.20997,0.5681,0.20662,0.14613,1.66274,7.05265,2.6491,0.000996456,0.000996456,0.000996456
68,2192.76,1.53411,0.94498,1.20003,0.1793,0.58707,0.17035,0.11405,1.82352,7.22021,2.98391,0.000979447,0.000979447,0.000979447
69,2227.14,1.52993,0.943,1.2192,0.1807,0.57111,0.20443,0.1417,1.74414,7.40956,2.85122,0.000962378,0.000962378,0.000962378
70,2261.45,1.49981,0.93366,1.19245,0.20685,0.56897,0.24915,0.18754,1.88467,7.65421,3.01156,0.000945256,0.000945256,0.000945256
71,2298.06,1.48115,0.9322,1.17834,0.20656,0.57414,0.241,0.17705,1.81695,7.23466,3.04257,0.000928088,0.000928088,0.000928088
72,2332.09,1.47737,0.93258,1.18079,0.21381,0.58103,0.30465,0.21907,1.90747,7.28193,3.30412,0.000910883,0.000910883,0.000910883
73,2367.93,1.47745,0.92614,1.19326,0.25868,0.56466,0.29257,0.21339,1.86375,7.2674,3.15359,0.000893648,0.000893648,0.000893648
74,2408.33,1.46298,0.92175,1.1708,0.16391,0.60517,0.17179,0.11639,1.84204,7.29274,3.05445,0.000876389,0.000876389,0.000876389
75,2443.16,1.47394,0.92979,1.17958,0.19292,0.5719,0.18728,0.12566,1.74835,7.44282,2.89095,0.000859116,0.000859116,0.000859116
76,2477.63,1.46824,0.91833,1.17661,0.21824,0.56983,0.22944,0.16377,1.68297,7.66341,2.7649,0.000841835,0.000841835,0.000841835
77,2513.45,1.46516,0.92013,1.17113,0.21548,0.57069,0.23318,0.17103,1.70643,7.34657,2.81755,0.000824554,0.000824554,0.000824554
78,2546.87,1.47172,0.89786,1.15468,0.1989,0.57069,0.2311,0.17096,1.7322,7.24443,2.89706,0.000807281,0.000807281,0.000807281
79,2580.02,1.43267,0.88718,1.15036,0.1846,0.56466,0.1615,0.10681,1.79722,7.46794,3.07057,0.000790022,0.000790022,0.000790022
